Toyota Matrix XRS Automatic,Lagos,Foreign Used,2006,62840,Automatic,1999999
Lexus GX 460 Premium,Lagos,Locally Used,2013,48754,Automatic,13600000
Toyota Sequoia Limited 4WD 5.7L V8 FFV,Lagos,Foreign Used,2004,62840,Automatic,3200000
Toyota Avensis 1.8,Lagos,Foreign Used,2005,62840,Automatic,2550000
Lexus ES 350,Lagos,Foreign Used,2009,75423,Automatic,3500000
Mercedes-Benz C300,Lagos,Foreign Used,2009,57243,Automatic,4880000
Honda Accord CrossTour,Lagos,Foreign Used,2011,57425,Automatic,6000000
Toyota Corolla 1.8,Lagos,Foreign Used,2007,62840,Automatic,2400000
Lexus ES 350,Lagos,Foreign Used,2008,62840,Automatic,3000000
Hyundai Elantra,Abuja,Brand New,2016,860,Automatic,5000000
Toyota Corolla,Abuja,Brand New,2017,837,Automatic,12500000
Honda Accord,Abuja,Foreign Used,2013,47000,Automatic,4500000
Ford Edge SEL,Lagos,Foreign Used,2008,73000,Automatic,3250000
Mercedes-Benz SLK Class,Lagos,Foreign Used,2009,40000,Automatic,6500000
Lexus RX 350,Lagos,Foreign Used,2014,40000,Automatic,7500000
Mercedes-Benz GLK 350 4MATIC,Lagos,Foreign Used,2011,53076,Automatic,7000000
Mercedes-Benz GLK,Lagos,Foreign Used,2011,52401,Automatic,7500000
Mercedes-Benz ML350,Lagos,Foreign Used,2005,85432,Automatic,2800000
Toyota Camry,Lagos,Foreign Used,2013,45678,Automatic,5200000
Mercedes-Benz ML350,Lagos,Foreign Used,2010,65432,Automatic,7600000
Mercedes-Benz ML350,Lagos,Foreign Used,2010,56435,Automatic,7700000
Toyota RAV4,Lagos,Locally Used,2008,70000,Automatic,2350000
Toyota RAV4,Lagos,Foreign Used,2002,101780,Automatic,1500000
Toyota Highlander,Lagos,Foreign Used,2014,15000,Automatic,14200000
Jeep Wrangler,Lagos,Locally Used,2009,109000,Automatic,5500000
Jeep Wrangler,Lagos,Foreign Used,2009,59752,Automatic,10000000
Toyota Corolla LE Automatic,Lagos,Locally Used,2003,104882,Automatic,1370000
Toyota Sequoia Limited 4WD 5.7L V8,Lagos,Foreign Used,2004,241143,Automatic,2700000
Toyota Camry LE,Lagos,Foreign Used,2004,67358,Automatic,1700000
Kia Picanto,Lagos,Locally Used,2004,89012,Automatic,1250000
Acura MDX AWD,Lagos,Foreign Used,2016,29632,Automatic,15000000
Toyota Corolla 1.8 VVTL-i,Lagos,Foreign Used,2012,82382,Automatic,3850000
Honda Accord CrossTour EX-L AWD,Lagos,Locally Used,2010,74008,Automatic,3200000
Volkswagen Tiguan 2.0 TSI,Lagos,Locally Used,2013,53000,Automatic,4500000
Lexus GX 470,Lagos,Foreign Used,2005,28784,Automatic,3800000
Mercedes-Benz GL Class,Lagos,Locally Used,2008,75000,Automatic,3000000
Toyota Tacoma 4x4 Access Cab,Lagos,Foreign Used,2007,207500,Automatic,2950000
Toyota Corolla Corolla,Lagos,Foreign Used,2016,7000,Automatic,5200000
Toyota RAV4 2.4,Lagos,Foreign Used,2005,62840,Automatic,2600000
Toyota Corolla Corolla,Lagos,Foreign Used,2012,1414,Automatic,3400000
Toyota Highlander Limited 4x4,Lagos,Foreign Used,2014,45361,Automatic,14000000
Toyota RAV4 2.4,Lagos,Foreign Used,2003,62840,Automatic,2300000
Toyota RAV4 2.4,Lagos,Foreign Used,2008,58369,Automatic,3700000
Toyota Sienna LE 8 Passenger,Lagos,Locally Used,2013,26684,Automatic,3500000
Toyota Sienna XLE 8 Passenger,Lagos,Foreign Used,2011,75372,Automatic,4500000
Lexus GX 470 Sport Utility,Lagos,Foreign Used,2006,62840,Automatic,5250000
Toyota Highlander V6 Long 4x4,Lagos,Foreign Used,2007,62840,Automatic,2880000
Toyota Highlander,Lagos,Foreign Used,2006,64095,Automatic,3550000
Toyota Avalon Limited,Lagos,Foreign Used,2007,66432,Automatic,2900000
Toyota Camry,Lagos,Foreign Used,2013,42383,Automatic,6700000
Mercedes-Benz ML350,Lagos,Foreign Used,2013,48000,Automatic,13500000
Toyota RAV4 1.8,Lagos,Foreign Used,2005,762896,Automatic,2600000
Lexus ES 350,Lagos,Foreign Used,2009,683427,Automatic,3900000
Toyota Camry,Lagos,Foreign Used,2015,12576,Automatic,8500000
Lexus RX 350 FWD,Lagos,Foreign Used,2011,72259,Automatic,8300000
